2019-10-25 22:09:18,425 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pank.ett:ett-service:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\ett_service\pom.xml.
2019-10-25 22:09:18,880 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.pank.ett:ett-web:0.0.1-SNAPSHOT @ D:\users\bimbo\Panka\workspace\ett-main\ett-web\pom.xml.
2019-10-25 22:09:23,388 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-persistance/src/main/java
2019-10-25 22:09:23,389 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-persistance/src/main/resources
2019-10-25 22:09:23,390 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-persistance/src/test/java
2019-10-25 22:09:23,391 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-persistance/src/test/resources
2019-10-25 22:09:23,693 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-service/src/main/java
2019-10-25 22:09:23,693 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-service/src/main/resources
2019-10-25 22:09:23,694 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-service/src/test/java
2019-10-25 22:09:23,695 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-service/src/test/resources
2019-10-25 22:09:24,769 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-web/src/main/java
2019-10-25 22:09:24,770 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-web/src/main/resources
2019-10-25 22:09:24,801 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ett-web/src/test/java
2019-10-25 22:09:24,802 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ett-web/src/test/resources
2019-10-25 22:09:25,661 [Worker-39] ERROR o.e.m2e.wtp.WTPProjectConfigurator - Unable to configure ett-web
org.eclipse.m2e.wtp.MarkedException: Unable to configure ett-web
	at org.eclipse.m2e.wtp.AbstractProjectConfiguratorDelegate.configureProject(AbstractProjectConfiguratorDelegate.java:98) ~[na:na]
	at org.eclipse.m2e.wtp.WTPProjectConfigurator.configure(WTPProjectConfigurator.java:71) ~[na:na]
